Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity
"Mar 13, 2019","1,199.06","1,205.93","1,207.12","1,197.91",1.29M
"Mar 12, 2019","1,197.25","1,182.30","1,205.71","1,182.30",2.11M
"Mar 11, 2019","1,179.26","1,152.00","1,179.91","1,151.57",1.50M
"Mar 08, 2019","1,149.97","1,133.90","1,153.45","1,130.20",1.18M
"Mar 07, 2019","1,150.85","1,160.50","1,163.58","1,141.71",1.50M
"Mar 06, 2019","1,164.94","1,171.76","1,174.74","1,163.05",1.18M
"Mar 05, 2019","1,169.19","1,156.00","1,176.49","1,153.02",2.00M
"Mar 04, 2019","1,153.42","1,154.56","1,165.52","1,138.25",1.77M
"Mar 01, 2019","1,148.52","1,131.00","1,150.00","1,131.00",1.70M
"Feb 28, 2019","1,126.55","1,119.00","1,133.99","1,118.41",1.37M
"Feb 27, 2019","1,122.89","1,114.01","1,125.73","1,108.56",1.10M
"Feb 26, 2019","1,122.01","1,114.37","1,126.43","1,106.70",1.75M
"Feb 25, 2019","1,117.33","1,121.93","1,125.40","1,114.11",1.31M
"Feb 22, 2019","1,116.56","1,109.70","1,117.25","1,100.50",1.47M
"Feb 21, 2019","1,104.21","1,118.78","1,119.15","1,097.98",1.66M
"Feb 20, 2019","1,120.59","1,128.88","1,130.93","1,111.75",1.20M
"Feb 19, 2019","1,126.51","1,116.64","1,129.64","1,116.64",1.10M
"Feb 15, 2019","1,119.63","1,139.30","1,139.30","1,116.72",1.39M
"Feb 14, 2019","1,129.20","1,125.00","1,136.13","1,117.09",1.06M
"Feb 13, 2019","1,128.63","1,133.04","1,142.85","1,126.00",1.40M
"Feb 12, 2019","1,127.58","1,111.01","1,132.86","1,111.01",1.75M
"Feb 11, 2019","1,102.12","1,103.75","1,113.43","1,100.00",924.88K
"Feb 08, 2019","1,102.38","1,094.88","1,105.10","1,094.24",1.09M
"Feb 07, 2019","1,105.91","1,111.82","1,111.99","1,093.59",1.91M
"Feb 06, 2019","1,122.89","1,149.27","1,154.00","1,118.36",2.41M
"Feb 05, 2019","1,151.87","1,129.63","1,152.77","1,123.60",4.11M
"Feb 04, 2019","1,141.42","1,119.01","1,142.34","1,117.51",3.92M
"Feb 01, 2019","1,118.62","1,122.29","1,134.40","1,114.25",1.66M
"Jan 31, 2019","1,125.89","1,112.24","1,127.67","1,105.25",2.01M
"Jan 30, 2019","1,097.99","1,077.36","1,099.52","1,076.64",1.47M
"Jan 29, 2019","1,070.06","1,081.04","1,084.73","1,066.02",985.25K
"Jan 28, 2019","1,079.86","1,090.07","1,093.37","1,074.61",1.47M
"Jan 25, 2019","1,101.51","1,094.23","1,103.36","1,091.80",1.16M
"Jan 24, 2019","1,084.00","1,082.51","1,088.00","1,070.02",1.46M
"Jan 23, 2019","1,084.41","1,086.86","1,092.95","1,067.57",1.26M
"Jan 22, 2019","1,078.63","1,096.00","1,098.97","1,070.89",1.98M
"Jan 18, 2019","1,107.30","1,108.59","1,118.00","1,099.28",2.24M
"Jan 17, 2019","1,099.12","1,087.99","1,100.70","1,083.26",1.24M
"Jan 16, 2019","1,089.51","1,090.00","1,102.36","1,088.01",1.91M
"Jan 15, 2019","1,086.51","1,058.01","1,088.27","1,054.44",1.88M
"Jan 14, 2019","1,051.51","1,053.34","1,058.45","1,048.55",1.42M
"Jan 11, 2019","1,064.47","1,069.90","1,073.37","1,056.43",1.54M
"Jan 10, 2019","1,078.83","1,074.94","1,079.81","1,064.68",1.33M
"Jan 09, 2019","1,081.65","1,087.99","1,091.64","1,074.37",1.35M
"Jan 08, 2019","1,085.37","1,086.00","1,093.35","1,068.35",1.77M
"Jan 07, 2019","1,075.92","1,080.97","1,082.70","1,062.64",2.37M
"Jan 04, 2019","1,078.07","1,042.56","1,080.00","1,036.86",2.30M
"Jan 03, 2019","1,025.47","1,050.67","1,066.26","1,022.37",2.10M
"Jan 02, 2019","1,054.68","1,027.20","1,060.79","1,025.28",1.59M
"Dec 31, 2018","1,044.96","1,057.83","1,062.99","1,033.04",1.66M
"Dec 28, 2018","1,046.68","1,059.50","1,064.23","1,042.00",1.72M
"Dec 27, 2018","1,052.90","1,026.20","1,053.34","1,007.00",2.30M
"Dec 26, 2018","1,047.85",997.99,"1,048.45",992.64,2.32M
"Dec 24, 2018",984.67,984.32,"1,012.12",977.66,1.82M
"Dec 21, 2018",991.25,"1,032.04","1,037.67",981.19,5.23M
"Dec 20, 2018","1,023.58","1,026.00","1,047.44","1,007.86",2.68M
"Dec 19, 2018","1,035.46","1,047.29","1,075.71","1,019.43",2.91M
"Dec 18, 2018","1,043.41","1,034.00","1,059.69","1,030.48",2.18M
"Dec 17, 2018","1,025.65","1,047.01","1,062.38","1,016.63",2.50M
"Dec 14, 2018","1,051.71","1,060.02","1,071.72","1,049.37",1.82M
"Dec 13, 2018","1,073.54","1,075.67","1,088.42","1,064.99",1.25M
"Dec 12, 2018","1,073.73","1,077.08","1,091.73","1,071.97",1.45M
"Dec 11, 2018","1,061.65","1,066.94","1,070.40","1,050.10",1.69M
"Dec 10, 2018","1,053.18","1,042.94","1,059.60","1,033.00",1.68M
"Dec 07, 2018","1,046.58","1,072.23","1,085.03","1,039.37",2.13M
"Dec 06, 2018","1,078.08","1,045.00","1,079.42","1,042.48",2.37M
"Dec 04, 2018","1,062.47","1,112.99","1,114.24","1,060.78",2.28M
"Dec 03, 2018","1,116.36","1,132.16","1,135.00","1,111.73",2.88M
"Nov 30, 2018","1,109.65","1,095.63","1,109.65","1,083.18",2.98M
"Nov 29, 2018","1,094.58","1,083.53","1,100.15","1,082.00",1.55M
"Nov 28, 2018","1,091.79","1,057.46","1,092.86","1,042.95",2.30M
"Nov 27, 2018","1,052.28","1,051.34","1,066.76","1,045.50",1.65M
"Nov 26, 2018","1,055.94","1,044.00","1,057.00","1,039.77",1.58M
"Nov 23, 2018","1,030.10","1,033.50","1,043.00","1,028.52",708.86K
"Nov 21, 2018","1,043.43","1,045.31","1,054.70","1,039.45",1.49M
"Nov 20, 2018","1,030.45","1,007.29","1,037.35","1,002.21",2.72M
"Nov 19, 2018","1,027.42","1,063.39","1,068.00","1,022.87",2.28M
"Nov 16, 2018","1,068.27","1,065.23","1,072.44","1,054.90",1.77M
"Nov 15, 2018","1,071.05","1,051.46","1,078.87","1,041.29",2.08M
"Nov 14, 2018","1,054.58","1,060.00","1,065.79","1,041.11",1.73M
"Nov 13, 2018","1,047.97","1,054.81","1,066.66","1,040.40",1.29M
"Nov 12, 2018","1,049.36","1,073.13","1,074.10","1,040.35",1.70M
"Nov 09, 2018","1,077.02","1,084.02","1,088.35","1,064.26",1.74M
"Nov 08, 2018","1,094.63","1,107.30","1,108.22","1,084.36",1.69M
"Nov 07, 2018","1,108.24","1,083.49","1,109.93","1,080.59",2.17M
"Nov 06, 2018","1,069.57","1,055.02","1,079.82","1,053.61",1.43M
"Nov 05, 2018","1,055.73","1,072.53","1,073.35","1,034.00",2.27M
"Nov 02, 2018","1,071.49","1,089.00","1,098.00","1,067.66",2.17M
"Nov 01, 2018","1,085.98","1,091.40","1,099.90","1,077.82",2.01M
"Oct 31, 2018","1,090.58","1,068.20","1,108.00","1,068.20",3.55M
"Oct 30, 2018","1,049.51","1,020.01","1,050.90","1,013.97",2.99M
"Oct 29, 2018","1,034.73","1,096.54","1,108.83","1,007.20",4.06M
"Oct 26, 2018","1,083.75","1,048.33","1,117.00","1,042.23",5.32M
"Oct 25, 2018","1,103.59","1,080.30","1,117.82","1,075.55",3.65M
"Oct 24, 2018","1,057.12","1,115.00","1,116.62","1,055.06",2.46M
"Oct 23, 2018","1,114.91","1,091.29","1,118.00","1,079.01",1.88M
"Oct 22, 2018","1,111.37","1,112.51","1,121.69","1,100.00",1.36M
"Oct 19, 2018","1,105.18","1,103.71","1,120.95","1,097.03",2.06M
"Oct 18, 2018","1,097.91","1,130.00","1,132.35","1,086.34",2.31M
"Oct 17, 2018","1,127.59","1,140.00","1,147.00","1,114.00",1.78M
"Oct 16, 2018","1,133.08","1,113.48","1,136.37","1,111.75",1.92M
"Oct 15, 2018","1,102.44","1,118.00","1,121.80","1,098.22",1.50M
"Oct 12, 2018","1,120.54","1,119.64","1,125.83","1,095.03",2.47M
"Oct 11, 2018","1,090.74","1,079.04","1,116.06","1,075.89",3.38M
"Oct 10, 2018","1,092.16","1,136.40","1,137.02","1,091.51",2.95M
"Oct 09, 2018","1,145.17","1,151.31","1,161.55","1,144.17",1.68M
"Oct 08, 2018","1,155.92","1,160.00","1,175.86","1,135.40",2.31M
"Oct 05, 2018","1,167.83","1,176.00","1,182.00","1,154.32",1.59M
"Oct 04, 2018","1,177.07","1,205.03","1,205.90","1,163.85",2.33M
"Oct 03, 2018","1,211.53","1,212.00","1,214.18","1,202.15",1.31M
"Oct 02, 2018","1,207.64","1,206.67","1,224.52","1,199.66",2.01M
"Oct 01, 2018","1,208.53","1,213.00","1,224.20","1,203.19",1.66M
"Sep 28, 2018","1,207.08","1,204.09","1,208.45","1,197.83",1.78M
"Sep 27, 2018","1,207.36","1,200.00","1,216.86","1,198.05",1.81M
"Sep 26, 2018","1,194.06","1,193.69","1,207.24","1,185.40",1.88M
"Sep 25, 2018","1,193.89","1,184.25","1,196.86","1,174.09",1.66M
"Sep 24, 2018","1,179.56","1,159.41","1,185.19","1,151.50",1.56M
"Sep 21, 2018","1,172.12","1,194.92","1,196.58","1,172.06",4.56M
"Sep 20, 2018","1,191.57","1,180.67","1,194.00","1,176.25",1.46M
"Sep 19, 2018","1,174.27","1,168.96","1,176.27","1,158.62",1.30M
"Sep 18, 2018","1,167.11","1,162.66","1,181.33","1,161.42",1.62M
"Sep 17, 2018","1,159.83","1,177.77","1,181.82","1,158.45",1.70M
